Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-23 16:53:00-04:00,61.48,61.48,61.4313,61.4313,61.4313,0
2023-03-23 16:55:00-04:00,61.48,61.48,61.45,61.45,61.45,0
2023-03-23 16:56:00-04:00,61.45,61.5,61.41,61.41,61.41,0
2023-03-23 16:57:00-04:00,61.41,61.41,61.35,61.35,61.35,0
2023-03-23 17:00:00-04:00,61.63,61.63,61.63,61.63,61.63,0
2023-03-23 17:01:00-04:00,61.4,61.44,61.4,61.44,61.44,0
2023-03-23 17:03:00-04:00,61.5,61.5,61.5,61.5,61.5,0
2023-03-23 17:05:00-04:00,61.35,61.55,61.35,61.55,61.55,0
2023-03-23 17:08:00-04:00,61.36,61.36,61.35,61.35,61.35,0
2023-03-23 17:09:00-04:00,61.34,61.34,61.32,61.34,61.34,0
2023-03-23 17:10:00-04:00,61.34,61.34,61.32,61.32,61.32,0
2023-03-23 17:11:00-04:00,61.31,61.34,61.27,61.34,61.34,0
2023-03-23 17:12:00-04:00,61.25,61.25,61.235,61.235,61.235,0
2023-03-23 17:13:00-04:00,61.34,61.34,61.34,61.34,61.34,0
2023-03-23 17:14:00-04:00,61.22,61.22,61.22,61.22,61.22,0
